index,Title,Abstract,Author,Citation
0,"Theory, methodology, and implementation of robotic intelligence and communication","This paper makes several uncommon claims. First, it suggests a theoretical approach, even though the theory comes with a clear methodology and implementation, so that we know what we do, how we do it, and why it is best to do it that way. Second, it pushes forward HARMS communication in natural language and explains why it is better that way. Third, it insists on the semantic approach so that all the HARMS agents ""understand"" (or even understand) what is going on--along with what is not. Fourth, most specifically and, hence, perhaps least importantly, it proposes one particular method of doing it, mildly hinting that some of its principles are unavoidable",Victor Raskin,5
1,An Efficient Multi-Objective Meta-heuristic Method for Probabilistic Transmission Network Planning,"In this paper, a new method is proposed for probabilistic transmission network expansion planning in Smart Grid. The proposed method makes use of Controlled Nondominated Sorting Genetic Algorithm (CNSGA-II) of multi-objective meta-heuristics (MOMH) to calculate a set of the Pareto solutions. In recent years, electric power networks increase the degree of uncertainties due to new environment of Smart Grid with renewable energy, distributed generation, Demand Response (DR), etc. Smart grid planners are interested in improving power supply reliability of transmission networks so that probabilistic expansion planning approaches are required. This paper focuses on a multi-objective problem in probabilistic transmission network expansion planning. The multi-objective optimization problem may be expressed as multi-metaheuristic formulation that evaluates a set of the Pareto solutions in Monte Carlo Simulation (MCS). In this paper, CNSGA-II is used to calculate a set of the Pareto Solutions. The proposed method is successfully applied to the IEEE 24-bus reliability test system.","Kakuta Hiroki,Hiroyuki Mori",3
2,Improving of the Generation Method of Repeated PWM Based on the Signals Combinations Applied to a PV Pumping system,"In this paper, we present a new method of the PWM signal generation with repetition of data segments, based on the round robin segment of different amplitudes converters, applied to the photovoltaic water pumping system and the variable frequency variable voltage systems, in order to use the data stored signals to generate other signal amplitudes intermediate to optimize memory usage and reduce the cost of the control board.","Abdelâali Boumâaraf,Tayeb Mohamadi,Nadhir Messai",4
3,Clustering Of Web User Sessions To Maintain Occurrence Of Sequence In Navigation Pattern,"Web log data available at server side helps in identifying the most appropriate pages based on the user request. Analysis of web log data poses challenges as it consists of abundant information of a web page. In this paper a novel technique has been proposed to pre-process the web log data to extract sequence of occurrence and navigation patterns helpful for prediction. Each URL in the web log data is parsed into tokens based on the web structure. Tokens are uniquely identified for the classification of URLs. The sequence of URLs navigated by a user for a period of 30 minutes is treated as a session. Session represents the navigation pattern of a user. Sessions from multiple users are clustered using hierarchical agglomerative clustering technique to analyze the occurrence of sequence in the navigation patterns. From each cluster, a session is identified as a representative as it holds most possible pages in the sequence, other sessions in the cluster are the subset of the representative session. Session representative navigation patterns are useful for predicting the most appropriate pages for the user request. The proposed model is tested on web log files of NASA and enggresources.","Anupama D.S.,Sahana D. Gowda",17
4,Agent-based Framework for Sensor-to-Sensor Personalization,"In Wireless Sensor Networks, personalization has been seen by researchers as the process of tailoring services to fulfill requests of different users with different profiles. This vision ignores that individual sensors commonly have different profiles and contexts and therefore different needs. In this paper, we aim at extending personalization by allowing sensors to support each other with services that mutually fit their differences. To this end, we propose an agent-based framework where sensor nodes delegate software agents (static or mobile) to collect valuable data about the neighboring sensors and the spatial characteristics of their surrounding environments. We also show how this framework may be used to make the routing and relocation processes more personalized.","Nabil Sahlia,Nafaa Jabeurb,Mohamad Badrac",17
5,"Towards a Holistic Approach for Problems in the
Energy and Mobility Domain","With the current rise of electric vehicles, it is possible to use those vehicles for storing surplus energy from renewable energy sources; however, this can be in conflict with providing and ensuring the mobility of the vehicle’s user. At DAI-Labor, we have a large number of both, past and upcoming projects concerned with those two aspects of managing electric vehicles: energy and mobility. To unify and facilitate developments in those projects, we developed common domain models describing the different aspects of the e-mobility domain. Those domain models are used in many of our projects for optimising charging schedules and for ensuring the user’s mobility",Marco Lutzenberger,12
6,IoT Security Techniques Based on Machine Learning: How Do IoT Devices Use AI to Enhance Security?,"The Internet of things (IoT), which integrates a variety of devices into networks to provide advanced and intelligent services, has to protect user privacy and address attacks such as spoofing attacks, denial of service (DoS) attacks, jamming, and eavesdropping. We investigate the attack model for IoT systems and review the IoT security solutions based on machine-learning (ML) techniques including supervised learning, unsupervised learning, and reinforcement learning (RL). ML-based IoT authentication, access control, secure offloading, and malware detection schemes to protect data privacy are the focus of this article. We also discuss the challenges that need to be addressed to implement these ML-based security schemes in practical IoT systems.","Liang Xiao,Xiaoyue Wan,Xiaozhen Lu,Yanyong Zhang,Di Wu",390
7,"BioSeq-Analysis: a platform for DNA, RNA and protein sequence analysis based on machine learning approaches","With the avalanche of biological sequences generated in the post-genomic age, one of the most challenging problems is how to computationally analyze their structures and functions. Machine learning techniques are playing key roles in this field. Typically, predictors based on machine learning techniques contain three main steps: feature extraction, predictor construction and performance evaluation. Although several Web servers and stand-alone tools have been developed to facilitate the biological sequence analysis, they only focus on individual step. In this regard, in this study a powerful Web server called BioSeq-Analysis (http://bioinformatics.hitsz.edu.cn/BioSeq-Analysis/) has been proposed to automatically complete the three main steps for constructing a predictor. The user only needs to upload the benchmark data set. BioSeq-Analysis can generate the optimized predictor based on the benchmark data set, and the performance measures can be reported as well. Furthermore, to maximize user’s convenience, its stand-alone program was also released, which can be downloaded from http://bioinformatics.hitsz.edu.cn/BioSeq-Analysis/download/, and can be directly run on Windows, Linux and UNIX. Applied to three sequence analysis tasks, experimental results showed that the predictors generated by BioSeq-Analysis even outperformed some state-of-the-art methods. It is anticipated that BioSeq-Analysis will become a useful tool for biological sequence analysis.",Bin Liu,221
8,Pareto-Based Multiobjective Machine Learning: An Overview and Case Studies,"Machine learning is inherently a multiobjective task. Traditionally, however, either only one of the objectives is adopted as the cost function or multiple objectives are aggregated to a scalar cost function. This can be mainly attributed to the fact that most conventional learning algorithms can only deal with a scalar cost function. Over the last decade, efforts on solving machine learning problems using the Pareto-based multiobjective optimization methodology have gained increasing impetus, particularly due to the great success of multiobjective optimization using evolutionary algorithms and other population-based stochastic search methods. It has been shown that Pareto-based multiobjective learning approaches are more powerful compared to learning algorithms with a scalar cost function in addressing various topics of machine learning, such as clustering, feature selection, improvement of generalization ability, knowledge extraction, and ensemble generation. One common benefit of the different multiobjective learning approaches is that a deeper insight into the learning problem can be gained by analyzing the Pareto front composed of multiple Pareto-optimal solutions. This paper provides an overview of the existing research on multiobjective machine learning, focusing on supervised learning. In addition, a number of case studies are provided to illustrate the major benefits of the Pareto-based approach to machine learning, e.g., how to identify interpretable models and models that can generalize on unseen data from the obtained Pareto-optimal solutions. Three approaches to Pareto-based multiobjective ensemble generation are compared and discussed in detail. Finally, potentially interesting topics in multiobjective machine learning are suggested.","Yaochu Jin , Bernhard Sendhoff",415
9,"Silver nanoparticles: mechanism of antimicrobial action, synthesis, medical applications, and toxicity effects","Silver nanoparticles are nanoparticles of silver which are in the range of 1 and 100 nm in size. Silver nanoparticles have unique properties which help in molecular diagnostics, in therapies, as well as in devices that are used in several medical procedures. The major methods used for silver nanoparticle synthesis are the physical and chemical methods. The problem with the chemical and physical methods is that the synthesis is expensive and can also have toxic substances absorbed onto them. To overcome this, the biological method provides a feasible alternative. The major biological systems involved in this are bacteria, fungi, and plant extracts. The major applications of silver nanoparticles in the medical field include diagnostic applications and therapeutic applications. In most of the therapeutic applications, it is the antimicrobial property that is being majorly explored, though the anti-inflammatory property has its fair share of applications. Though silver nanoparticles are rampantly used in many medical procedures and devices as well as in various biological fields, they have their drawbacks due to nanotoxicity. This review provides a comprehensive view on the mechanism of action, production, applications in the medical field, and the health and environmental concerns that are allegedly caused due to these nanoparticles. The focus is on effective and efficient synthesis of silver nanoparticles while exploring their various prospective applications besides trying to understand the current scenario in the debates on the toxicity concerns these nanoparticles pose.",Sukumaran Prabhu & Eldho K Poulose,2106
